# sink age [kyr],T_bol face on [K],T_bol edge on A [K],T_bol edge on B [K]
1.070089953643095448e+00,3.410355965591743654e+01,2.870741911000980195e+01,3.484747515959074349e+01
2.072045701207288371e+00,4.219688032045034021e+01,2.995058581958699051e+01,3.194063683124204189e+01
3.070321942831881312e+00,4.063458046562311665e+01,3.274865739320304669e+01,3.175622881107772955e+01
4.068998495110860425e+00,3.194156990098885629e+01,3.640200309275186896e+01,4.162779117105019822e+01
5.070639298375892778e+00,5.615108997190588980e+01,4.355816434997005615e+01,3.293508785211965062e+01
6.068827859143111070e+00,4.218445412780609871e+01,3.609706899225438548e+01,3.943552566138382787e+01
7.069267082930545065e+00,4.189515155727683293e+01,3.625502042163365957e+01,5.097405980879015175e+01
8.069819681046007886e+00,3.583821218590748714e+01,3.768116721644444311e+01,5.083087670431930150e+01
9.068952339135035956e+00,4.407929837558580743e+01,4.407422623974174769e+01,4.670865354761929211e+01
1.006850373860381076e+01,4.582157565345337247e+01,3.710798195393262944e+01,4.549270889930514272e+01
1.106961160898932306e+01,4.387301172819767459e+01,3.841843568088364691e+01,4.002750918926800239e+01
1.206874754150677553e+01,4.322048596754687111e+01,3.798003225605291533e+01,4.108214355528790662e+01
1.306872584368024270e+01,4.191556179342854449e+01,3.888624862768422474e+01,4.134380699967029216e+01
1.406893247749868081e+01,4.206171083096302254e+01,3.798308632163455201e+01,4.142517257733775438e+01
1.506933082912205890e+01,5.354004287514757721e+01,4.276626845765574103e+01,4.935034899626342053e+01
1.606861855034419406e+01,5.186911406954382642e+01,4.466220674638979204e+01,4.710337220701647709e+01
1.706848962498125033e+01,5.102509637595455416e+01,4.671872866531427348e+01,4.723760815235694821e+01
1.806992522598580209e+01,5.064797627685909731e+01,4.225802123162254276e+01,4.499778848331230563e+01
1.906875961344982429e+01,4.141110678676543699e+01,4.855459827439444354e+01,4.244962671829600254e+01
2.006941998988966702e+01,4.504484786082230130e+01,5.131395269355586208e+01,4.504413830826058529e+01
2.106918378306896855e+01,4.099614828457434612e+01,4.984329237456474004e+01,4.234054682046092921e+01
2.206868761750305552e+01,4.019302994755553726e+01,5.076552476508253875e+01,4.076214771108845980e+01
2.307035613466791091e+01,4.650159810318988463e+01,5.538910181151120327e+01,4.133473167140433446e+01
2.406945928487249020e+01,5.057602060348060036e+01,5.684890074778313362e+01,4.112433155862881051e+01
2.506896972895037479e+01,4.440454418168584283e+01,5.612995048455923808e+01,4.237767983589802867e+01
2.606926841940378736e+01,5.069256184816656940e+01,5.851056951637990267e+01,4.450018634495589964e+01
2.706869462441827068e+01,5.541823559523334808e+01,5.851777676334697276e+01,4.615452178711345255e+01
2.806917632821575381e+01,6.829710457072671659e+01,5.864757028109224990e+01,4.841090952595074270e+01
2.906914036171493976e+01,4.894269994493562592e+01,6.138046251175450152e+01,4.768280471742085780e+01
3.006891765672851236e+01,5.640678236543643465e+01,5.847495014732596275e+01,4.672601760098525148e+01
3.106877200977687536e+01,4.885083364334330014e+01,6.315771486312353744e+01,4.813235156928273284e+01
3.206896819866588544e+01,4.748254271900601964e+01,5.798293736321365088e+01,5.068263659148587408e+01
3.306947201287153604e+01,5.419778028977412276e+01,5.804186280954419885e+01,4.764627236812785327e+01
3.406979593510135373e+01,5.177449832348449377e+01,5.444298240330358851e+01,4.295549655744414252e+01
3.506931485188352582e+01,5.497432299441626924e+01,5.774937056678476921e+01,4.462696308169008574e+01
3.606988061299147574e+01,5.782394855932093947e+01,4.803958041763972631e+01,5.346929127113881464e+01
3.706932973713774260e+01,5.607739950503472670e+01,5.956797279365724762e+01,5.846814079161698885e+01
3.806984318638644993e+01,5.592574472886237658e+01,4.605319853953165676e+01,7.314547044852780289e+01
3.906860554961117771e+01,5.423100729381848595e+01,4.953400600974084256e+01,8.004263871125137086e+01
4.006994343013155913e+01,5.490749853403145408e+01,4.433877449754707101e+01,6.711211325489199453e+01
4.106906752643222802e+01,5.574522121566252508e+01,4.748430274306620191e+01,6.723576798138437027e+01
4.206936905743446431e+01,5.585006164879263935e+01,4.239506156270940807e+01,6.843641082859990377e+01
4.306987865106124502e+01,5.330676053498138600e+01,4.157784299058521071e+01,6.496862155853162335e+01
4.406914966623518382e+01,5.662113506993605938e+01,4.338826316933536020e+01,7.578231715893961962e+01
4.507026476090313594e+01,5.883699714634902733e+01,4.978709506157149889e+01,6.847750288801844931e+01
4.606988008282360170e+01,5.633273849635519781e+01,4.830482855506056694e+01,7.567340517639297559e+01
4.706859416480931202e+01,5.769383154660430080e+01,5.307909488875899484e+01,7.615143937120555506e+01
4.806979021713565459e+01,5.775851606062401089e+01,5.152049684212769876e+01,8.017554488353316344e+01
4.906875249152657403e+01,6.373500085146405780e+01,6.025348443111803931e+01,5.464030189681405147e+01
5.006939901737552390e+01,6.693803244373751227e+01,7.193085435509502190e+01,5.976917294210714715e+01
5.106926839462897760e+01,7.276375284334042703e+01,6.700717000563332704e+01,6.221143625772408825e+01
5.206852669317648008e+01,8.126792671457783968e+01,6.568821124091982711e+01,6.267114440432343514e+01
5.306931577690411928e+01,8.683871975383560482e+01,6.873456706484729750e+01,6.593244231193227733e+01
5.406934791139222796e+01,8.779428152976738886e+01,6.202118473017013400e+01,6.569858781904731870e+01
5.506854561482460042e+01,8.022239061818170569e+01,5.793113911660956461e+01,6.759017344635718416e+01
5.606859108846626327e+01,1.062699680873461858e+02,5.726930280078430258e+01,6.189039654263522294e+01
5.706890513508162854e+01,8.366494014602973550e+01,5.573366099856822586e+01,7.050798626390434265e+01
5.806904515952422940e+01,8.059639139378978712e+01,6.270570189190247135e+01,7.944472374478954180e+01
5.906868205466584953e+01,1.034960389588415808e+02,7.424011998582065530e+01,7.561348708711143729e+01
6.006876314312152942e+01,7.674503327848113088e+01,6.021503142123495422e+01,7.862132065897840505e+01
6.106956341239130381e+01,7.152817103498779261e+01,5.625655596694542027e+01,7.951236746460519100e+01
6.206916778415925506e+01,7.516560134567650664e+01,5.284192409912285626e+01,7.568568616579599961e+01
6.306869755111076614e+01,5.272650518388284269e+01,5.415271619368214573e+01,6.131062786272563869e+01
6.406855000329677807e+01,5.978944743081090962e+01,4.975340151452731163e+01,7.358069796341959545e+01
6.506869652611491972e+01,6.210884630172104437e+01,5.178515622531969598e+01,7.662982687835008733e+01
6.606865349780494512e+01,6.397604399551504883e+01,5.463975336716286790e+01,7.338819405432683141e+01
6.706891639702755015e+01,6.489076120648338986e+01,7.224491676435543752e+01,6.982413405596960843e+01
6.806897881585102539e+01,7.280396167301901755e+01,6.084955024571647186e+01,7.784240282614922535e+01
6.906864816993186196e+01,4.986292527263258023e+01,5.121606689109310651e+01,7.000528997982475232e+01
7.006991233532345120e+01,5.583174554170410175e+01,6.013616032590492466e+01,7.671270792231140945e+01
7.106931838710171689e+01,5.745204976128159302e+01,5.819037520667546204e+01,8.175938816224213213e+01
7.206946251171321194e+01,5.771097145058190137e+01,6.792381847983136822e+01,6.690045174284178131e+01
7.306869280080188389e+01,5.139634362047311811e+01,7.225308568676531706e+01,7.350187204709511946e+01
7.406877845900918089e+01,6.257464589195849669e+01,5.463757662944816929e+01,6.619452732286687535e+01
7.506884791037008142e+01,7.063540037661961435e+01,6.305898163802039846e+01,6.953455803139165425e+01
7.606943379125466720e+01,6.046658569300313957e+01,6.565949741985862431e+01,6.773371391806058739e+01
7.706869558876934434e+01,6.182016388333825319e+01,6.633762621250154723e+01,6.943090402458548738e+01
7.806857432169869071e+01,6.743138298308021206e+01,6.586878872012729857e+01,6.704883098021024068e+01
7.906867927158282328e+01,6.010330280824903326e+01,6.801330996237200566e+01,6.719544226982569057e+01
8.006895116049552996e+01,6.520643741989397313e+01,6.609617267078867542e+01,6.730892165742703526e+01
8.106899669355873073e+01,5.804375838867149184e+01,6.960035531103451945e+01,6.867160864926873387e+01
8.206865956905511439e+01,5.529542042043502192e+01,6.963328983348336010e+01,6.754946074298320013e+01
8.306855342020452326e+01,5.309547425838979962e+01,8.894683640519660628e+01,7.704245398756148688e+01
8.406935575898077673e+01,5.011647455597000089e+01,7.788643442470285549e+01,7.425932001650991765e+01
8.506901121428116141e+01,5.407207619590541725e+01,6.838444427740600418e+01,7.271087227249073237e+01
8.606982537373369269e+01,5.514714815725248798e+01,6.777792159407781014e+01,7.221078648843457870e+01
8.706890263535979102e+01,5.699527558972094710e+01,7.086161931331496078e+01,8.770483311978934182e+01
8.806879792822476816e+01,5.940933640343818922e+01,6.692344117528891445e+01,7.938209754855066080e+01
8.906849875705491115e+01,5.582196704338677051e+01,6.251995550744827312e+01,7.873458229406922726e+01
9.006878836112070985e+01,5.283179828781575793e+01,4.990328384800996275e+01,7.730728008190594380e+01
9.106881216783020250e+01,5.910233678330385487e+01,4.974974844857843692e+01,6.575451706013734565e+01
9.206904966035047266e+01,5.963063083278230891e+01,5.138895783588655775e+01,6.938990096790169559e+01
